Project_ID,Project_Type,Area_sqft,Floors,Complexity,Duration_Months,Location,Project_Cost
P132,Residential,6791,5,Medium,4,Urban,279617.0
P133,Residential,2733,4,Low,10,Suburban,167422.0
P134,Residential,6535,2,Medium,9,Suburban,247536.0
P135,Office,7390,1,Low,12,Suburban,272888.0
P136,Residential,5931,4,Medium,12,Suburban,264331.0
P137,Residential,4510,5,Medium,4,Urban,243900.0
P138,Residential,1202,4,High,8,Suburban,158300.0
P139,Office,4255,1,Medium,8,Rural,179807.0
P140,Residential,5218,4,Low,5,Urban,233693.0
P141,Retail,5496,3,Low,4,Suburban,199175.0
P142,Residential,1766,4,Medium,3,Urban,149560.0
P143,Retail,5389,2,Medium,8,Urban,237981.0
P144,Retail,3327,2,Low,7,Suburban,144066.0
P145,Retail,3931,3,Low,11,Suburban,180190.0
P146,Office,1197,1,Medium,3,Urban,121028.0
P147,Office,2930,2,Low,9,Suburban,168878.0
P148,Office,4582,5,High,7,Urban,277276.0
P149,Residential,7895,2,Medium,7,Urban,304542.0
P150,Retail,7287,2,Low,4,Urban,262585.0
